Latitude,Longitude
-37.8164818671844,144.956803946588
-37.8146799703293,144.956807449488
-37.8138142382202,144.956819819963
-37.8140829817326,144.956870524158
-37.8184,144.957
-37.8182,144.957
-37.8181,144.957
-37.8153513411729,144.95702925721
-37.8159044876593,144.957069943801
-37.816943836217,144.957097814394
-37.8149399050361,144.957106440072
-37.8117991136454,144.957140692194
-37.814032668761,144.95717125059
-37.8159046239676,144.957186192945
-37.8160582226182,144.957190049829
-37.8154841165161,144.957198014481
-37.8162717009249,144.957210699291
-37.8120204612314,144.957256162837
-37.8174989007304,144.957333739539
-37.8168128533827,144.95735811976
-37.8147487597557,144.957367461806
-37.812073757988,144.957394615182
-37.8134163839162,144.957396442711
-37.8179797951582,144.957407632852
-37.8130227611882,144.957437930358
-37.8147006044405,144.95744591791
-37.8123829390783,144.957466255457
-37.8123419552484,144.957472642577
-37.8131462900571,144.957496150784
-37.8174047706957,144.957498982563
-37.8143639348248,144.957509219651
-37.8122032594447,144.957511500825
-37.8163631945692,144.95751846847
-37.817395184974,144.957554949386
-37.8152880608233,144.957556658671
-37.8189873519972,144.957557067021
-37.8175534034654,144.957584542282
-37.8145572108736,144.95759606351
-37.8147951913947,144.957619995755
-37.8120843077848,144.957673808202
-37.8162083472263,144.957681558163
-37.816161532486,144.957698709356
-37.8172221442608,144.957716295042
-37.8146227757157,144.957790509046
-37.8130493801409,144.95779474036
-37.8131152336825,144.957819054432
-37.8165176707948,144.957849458626
-37.8114984391681,144.957850903931
-37.8151573142609,144.957856219723
-37.8182472972017,144.957882576574
-37.8155901574505,144.957887460721
-37.8119614616741,144.957933510234
-37.8141730067218,144.957937740675
-37.8188602787044,144.957938827549
-37.8167491863788,144.957956063797
-37.8139312699763,144.957970957221
-37.8187,144.958
-37.8116856143387,144.958014477449
-37.8140091952217,144.958024933262
-37.8116569803632,144.95806308316
-37.816216700467,144.958155617128
-37.8181424463333,144.958163930678
-37.8132654585894,144.958166588741
-37.8152929014039,144.958198066484
-37.8121389746928,144.958204232376
-37.8173763955731,144.958209716415
-37.8178658730766,144.958280030626
-37.8136367706446,144.958284904911
-37.8186227545506,144.958338707885
-37.8177712627017,144.958392687595
-37.8148359277061,144.958409602815
-37.8118242103996,144.958414785401
-37.8139506711772,144.958424752828
-37.8136528725183,144.958460203721
-37.8121967309172,144.958464123455
-37.8135154249007,144.958508923606
-37.8184940866431,144.958553746858
-37.815417571993,144.958595412809
-37.8161534375912,144.958601308507
-37.8121889556879,144.958606046449
-37.8189009005395,144.958628000147
-37.8111450642057,144.958690154671
-37.8177511950101,144.958712704963
